fecha_aplicacion,jurisdiccion_aplicacion_id,aplicadas,csumaplicadas,labeldistrito
2021-01-05,50,526,1727,Mendoza
2021-01-05,54,191,2138,Misiones
2021-01-05,62,159,2176,Rio Negro
2021-01-05,66,253,3543,Salta
2021-01-05,70,116,1456,San Juan
2021-01-05,82,1329,4823,Santa Fe
2021-01-05,86,214,1971,S del Estero
2021-01-05,90,268,4561,Tucuman
2021-01-05,94,78,316,T del Fuego
2021-01-06,2,1438,6188,CABA
2021-01-06,6,4396,15793,Buenos Aires
2021-01-06,10,7,1227,Catamarca
2021-01-06,14,294,10767,Cordoba
2021-01-06,18,151,2002,Corrientes
2021-01-06,22,374,3143,Chaco
2021-01-06,26,149,1052,Chubut
2021-01-06,30,532,1934,Entre Rios
2021-01-06,42,105,1193,La Pampa
2021-01-06,46,12,1428,La Rioja
2021-01-06,50,594,2321,Mendoza
2021-01-06,54,68,2206,Misiones
2021-01-06,62,16,2192,Rio Negro
2021-01-06,66,151,3694,Salta
2021-01-06,70,120,1576,San Juan
2021-01-06,82,1049,5872,Santa Fe
2021-01-06,86,371,2342,S del Estero
2021-01-06,90,220,4781,Tucuman
2021-01-06,94,87,403,T del Fuego
2021-01-07,2,1595,7783,CABA
2021-01-07,6,8886,24679,Buenos Aires
2021-01-07,10,343,1570,Catamarca
2021-01-07,14,470,11237,Cordoba
2021-01-07,18,189,2191,Corrientes
2021-01-07,22,274,3417,Chaco
2021-01-07,26,61,1113,Chubut
2021-01-07,30,475,2409,Entre Rios
2021-01-07,34,902,2716,Formosa
2021-01-07,42,323,1516,La Pampa
2021-01-07,46,741,2169,La Rioja
2021-01-07,50,695,3016,Mendoza
2021-01-07,54,29,2235,Misiones
2021-01-07,58,1140,2976,Neuquen
2021-01-07,62,11,2203,Rio Negro
2021-01-07,66,75,3769,Salta
2021-01-07,70,166,1742,San Juan
2021-01-07,74,184,1994,San Luis
2021-01-07,82,1179,7051,Santa Fe
2021-01-07,86,298,2640,S del Estero
2021-01-07,90,189,4970,Tucuman
2021-01-07,94,34,437,T del Fuego
2021-01-08,2,1869,9652,CABA
2021-01-08,6,10443,35122,Buenos Aires
2021-01-08,10,326,1896,Catamarca
2021-01-08,14,1885,13122,Cordoba
2021-01-08,18,112,2303,Corrientes
2021-01-08,22,856,4273,Chaco
2021-01-08,26,213,1326,Chubut
2021-01-08,30,801,3210,Entre Rios
2021-01-08,34,638,3354,Formosa
2021-01-08,38,519,2721,Jujuy
2021-01-08,42,390,1906,La Pampa
2021-01-08,46,464,2633,La Rioja
2021-01-08,50,862,3878,Mendoza
2021-01-08,54,1531,3766,Misiones
2021-01-08,58,691,3667,Neuquen
2021-01-08,62,776,2979,Rio Negro
2021-01-08,66,1198,4967,Salta
2021-01-08,70,189,1931,San Juan
2021-01-08,74,217,2211,San Luis
2021-01-08,78,267,1175,Santa Cruz
2021-01-08,82,1911,8962,Santa Fe
2021-01-08,86,486,3126,S del Estero
2021-01-08,90,1133,6103,Tucuman
2021-01-08,94,164,601,T del Fuego
2021-01-09,2,441,10093,CABA
2021-01-09,6,5374,40496,Buenos Aires
2021-01-09,10,210,2106,Catamarca
2021-01-09,14,1467,14589,Cordoba
2021-01-09,18,8,2311,Corrientes
2021-01-09,22,229,4502,Chaco
2021-01-09,26,93,1419,Chubut
2021-01-09,30,50,3260,Entre Rios
2021-01-09,38,557,3278,Jujuy
2021-01-09,42,80,1986,La Pampa
2021-01-09,46,94,2727,La Rioja
2021-01-09,50,120,3998,Mendoza
2021-01-09,54,88,3854,Misiones
2021-01-09,62,246,3225,Rio Negro
2021-01-09,66,141,5108,Salta
2021-01-09,78,426,1601,Santa Cruz
2021-01-09,82,254,9216,Santa Fe
2021-01-09,90,330,6433,Tucuman
2021-01-09,94,25,626,T del Fuego
2021-01-10,2,570,10663,CABA
2021-01-10,6,225,40721,Buenos Aires
2021-01-10,10,140,2246,Catamarca
2021-01-10,18,25,2336,Corrientes
2021-01-10,22,20,4522,Chaco
2021-01-10,30,28,3288,Entre Rios
2021-01-10,42,19,2005,La Pampa
2021-01-10,50,4,4002,Mendoza
2021-01-10,62,50,3275,Rio Negro
2021-01-10,66,32,5140,Salta
2021-01-10,78,50,1651,Santa Cruz
2021-01-10,82,1,9217,Santa Fe
2021-01-10,86,13,3139,S del Estero
2021-01-11,2,1834,12497,CABA
2021-01-11,6,8014,48735,Buenos Aires
2021-01-11,10,305,2551,Catamarca
2021-01-11,14,2461,17050,Cordoba
2021-01-11,18,329,2665,Corrientes
2021-01-11,22,622,5144,Chaco
2021-01-11,26,231,1650,Chubut
2021-01-11,30,315,3603,Entre Rios
2021-01-11,34,26,3380,Formosa
2021-01-11,38,499,3777,Jujuy
2021-01-11,42,142,2147,La Pampa
2021-01-11,46,93,2820,La Rioja
2021-01-11,50,838,4840,Mendoza
2021-01-11,54,218,4072,Misiones
2021-01-11,62,527,3802,Rio Negro
2021-01-11,66,734,5874,Salta
2021-01-11,70,130,2061,San Juan
2021-01-11,74,171,2382,San Luis
2021-01-11,78,160,1811,Santa Cruz
2021-01-11,82,1556,10773,Santa Fe
2021-01-11,86,242,3381,S del Estero
2021-01-11,90,329,6762,Tucuman
2021-01-11,94,81,707,T del Fuego
2021-01-12,2,1692,14189,CABA
2021-01-12,6,9084,57819,Buenos Aires
2021-01-12,10,17,2568,Catamarca
2021-01-12,14,1618,18668,Cordoba
2021-01-12,18,490,3155,Corrientes
2021-01-12,22,341,5485,Chaco
2021-01-12,26,211,1861,Chubut
2021-01-12,30,635,4238,Entre Rios
2021-01-12,34,8,3388,Formosa
2021-01-12,38,703,4480,Jujuy
2021-01-12,42,11,2158,La Pampa
2021-01-12,50,596,5436,Mendoza
2021-01-12,54,306,4378,Misiones
